dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,35.000000,210.000000,0.003571,0.142857,2.857143,57.142857,0.000000
0.050000,35.000000,210.000000,0.017857,0.428571,5.714286,57.142857,0.000000
0.050000,35.000000,210.000000,0.050000,0.857143,8.571429,57.142857,0.000000
0.050000,35.037094,210.000000,0.107143,1.428571,11.428571,57.142857,0.000000
0.050000,35.126380,210.000000,0.196429,2.142857,14.285714,57.142857,0.000000
0.050000,35.254952,210.000000,0.325000,3.000000,17.142857,57.142857,0.000000
0.050000,35.429952,210.000000,0.500000,4.000000,20.000000,57.142857,0.000000
0.050000,35.658523,210.000000,0.728571,5.142857,22.857143,57.142857,0.000000
0.050000,35.947809,210.000000,1.017857,6.428571,25.714286,57.142857,0.000000
0.050000,36.304952,210.000000,1.375000,7.857143,28.571429,57.142857,0.000000
0.050000,36.737094,210.000000,1.807143,9.428571,31.428571,57.142857,0.000000
0.050000,37.251380,210.000000,2.321429,11.142857,34.285714,57.142857,0.000000
0.050000,37.854952,210.000000,2.925000,13.000000,37.142857,57.142857,0.000000
0.050000,38.554952,210.000000,3.625000,15.000000,40.000000,57.142857,0.000000
0.050000,39.354952,210.000000,4.425000,17.000000,40.000000,-0.000000,0.000000
0.050000,40.251380,210.000000,5.321429,18.857143,37.142857,-57.142857,0.000000
0.050000,41.237094,210.000000,6.307143,20.571429,34.285714,-57.142857,0.000000
0.050000,42.304952,210.000000,7.375000,22.142857,31.428571,-57.142857,0.000000
0.050000,43.447809,210.000000,8.517857,23.571429,28.571429,-57.142857,0.000000
0.050000,44.658523,210.000000,9.728571,24.857143,25.714286,-57.142857,0.000000
0.050000,45.929952,210.000000,11.000000,26.000000,22.857143,-57.142857,0.000000
0.050000,47.254952,210.000000,12.325000,27.000000,20.000000,-57.142857,0.000000
0.050000,48.626380,210.000000,13.696429,27.857143,17.142857,-57.142857,0.000000
0.050000,50.037094,210.000000,15.107143,28.571429,14.285714,-57.142857,0.000000
0.050000,51.479952,210.000000,16.550000,29.142857,11.428571,-57.142857,0.000000
0.050000,52.947809,210.000000,18.017857,29.571429,8.571429,-57.142857,0.000000
0.050000,54.433523,210.000000,19.503571,29.857143,5.714286,-57.142857,0.000000
0.050000,55.929952,210.000000,21.000000,30.000000,2.857143,-57.142857,0.000000
0.050000,57.429952,210.000000,22.500000,30.000000,0.000000,-57.142857,0.000000
0.050000,58.929952,210.000000,24.000000,30.000000,0.000000,0.000000,0.000000
0.050000,60.429952,210.000000,25.500000,30.000000,0.000000,0.000000,0.000000
0.050000,61.929952,210.000000,27.000000,30.000000,0.000000,0.000000,0.000000
0.050000,63.429952,210.000000,28.500000,30.000000,0.000000,0.000000,0.000000
0.050000,64.929952,210.000000,30.000000,30.000000,0.000000,0.000000,0.000000
0.050000,66.429952,210.000000,31.500000,30.000000,0.000000,0.000000,0.000000
0.050000,67.929952,210.000000,33.000000,30.000000,0.000000,0.000000,0.000000
0.050000,69.429952,210.000000,34.500000,30.000000,0.000000,0.000000,0.000000
0.050000,70.929952,210.000000,36.000000,30.000000,0.000000,0.000000,0.000000
0.050000,72.429952,210.000000,37.500000,30.000000,0.000000,0.000000,0.000000
0.050000,73.929952,210.000000,39.000000,30.000000,0.000000,0.000000,0.000000
0.050000,75.429952,210.000000,40.500000,30.000000,0.000000,0.000000,0.000000
0.050000,76.929952,210.000000,42.000000,30.000000,0.000000,0.000000,0.000000
0.050000,78.429952,210.000000,43.500000,30.000000,0.000000,0.000000,0.000000
0.050000,79.929952,210.000000,45.000000,30.000000,0.000000,0.000000,0.000000
0.050000,81.429952,210.000000,46.500000,30.000000,0.000000,0.000000,0.000000
0.050000,82.929952,210.000000,48.000000,30.000000,0.000000,0.000000,0.000000
0.050000,84.429952,210.000000,49.500000,30.000000,0.000000,0.000000,0.000000
0.050000,85.929952,210.000000,51.000000,30.000000,0.000000,0.000000,0.000000
0.050000,87.429952,210.000000,52.500000,30.000000,0.000000,0.000000,0.000000
0.050000,88.929952,210.000000,54.000000,30.000000,0.000000,0.000000,0.000000
0.050000,90.429952,210.000000,55.500000,30.000000,0.000000,0.000000,0.000000
0.050000,91.929952,210.000000,57.000000,30.000000,0.000000,0.000000,0.000000
0.050000,93.429952,210.000000,58.500000,30.000000,0.000000,0.000000,0.000000
0.050000,94.929952,210.000000,60.000000,30.000000,0.000000,0.000000,0.000000
0.050000,96.429952,210.000000,61.500000,30.000000,0.000000,0.000000,0.000000
0.050000,97.929952,210.000000,63.000000,30.000000,0.000000,0.000000,0.000000
0.050000,99.429952,210.000000,64.500000,30.000000,0.000000,0.000000,0.000000
0.050000,100.929952,210.000000,66.000000,30.000000,0.000000,0.000000,0.000000
0.050000,102.429952,210.000000,67.500000,30.000000,0.000000,0.000000,0.000000
0.050000,103.929952,210.000000,69.000000,30.000000,0.000000,0.000000,0.000000
0.050000,105.332288,210.000035,70.500000,30.000000,0.000000,0.000000,0.000239
0.050000,106.832288,210.001110,72.000000,30.000000,0.000000,0.000000,0.001073
0.050000,108.332287,210.002894,73.500000,30.000000,0.000000,0.000000,0.001185
0.050000,109.832287,210.004305,75.000000,30.000000,0.000000,0.000000,0.000576
0.050000,111.332288,210.004258,76.500000,30.000000,0.000000,0.000000,6.282427
0.050000,112.832286,210.001663,78.000000,30.000000,0.000000,0.000000,6.280361
0.050000,114.332272,209.995415,79.500000,30.000000,0.000000,0.000000,6.277554
0.050000,115.832232,209.984391,81.000000,30.000000,0.000000,0.000000,6.273991
0.050000,117.332134,209.967445,82.500000,30.000000,0.000000,0.000000,6.269654
0.050000,118.831942,209.943400,84.000000,30.000000,0.000000,0.000000,6.264521
0.050000,120.331590,209.911044,85.500000,30.000000,0.000000,0.000000,6.258565
0.050000,121.831003,209.869121,87.000000,30.000000,0.000000,0.000000,6.251756
0.050000,123.330071,209.816328,88.500000,30.000000,0.000000,0.000000,6.244058
0.050000,124.828656,209.751306,90.000000,30.000000,0.000000,0.000000,6.235430
0.050000,126.326585,209.672632,91.500000,30.000000,0.000000,0.000000,6.225827
0.050000,127.823642,209.578814,93.000000,30.000000,0.000000,0.000000,6.215196
0.050000,129.319557,209.468284,94.500000,30.000000,0.000000,0.000000,6.203481
0.050000,130.813999,209.339387,96.000000,30.000000,0.000000,0.000000,6.190617
0.050000,132.306565,209.190378,97.500000,30.000000,0.000000,0.000000,6.176535
