dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,42.646738,112.500000,0.003571,0.142857,2.857143,57.142857,0.000000
0.050000,42.646738,112.500000,0.017857,0.428571,5.714286,57.142857,0.000000
0.050000,42.646738,112.500000,0.050000,0.857143,8.571429,57.142857,0.000000
0.050000,42.696528,112.500000,0.107143,1.428571,11.428571,57.142857,0.000000
0.050000,42.785813,112.500000,0.196429,2.142857,14.285714,57.142857,0.000000
0.050000,42.914385,112.500000,0.325000,3.000000,17.142857,57.142857,0.000000
0.050000,43.089385,112.500000,0.500000,4.000000,20.000000,57.142857,0.000000
0.050000,43.317956,112.500000,0.728571,5.142857,22.857143,57.142857,0.000000
0.050000,43.607242,112.500000,1.017857,6.428571,25.714286,57.142857,0.000000
0.050000,43.964385,112.500000,1.375000,7.857143,28.571429,57.142857,0.000000
0.050000,44.396528,112.500000,1.807143,9.428571,31.428571,57.142857,0.000000
0.050000,44.910813,112.500000,2.321429,11.142857,34.285714,57.142857,0.000000
0.050000,45.514385,112.500000,2.925000,13.000000,37.142857,57.142857,0.000000
0.050000,46.214385,112.500000,3.625000,15.000000,40.000000,57.142857,0.000000
0.050000,47.014385,112.500000,4.425000,17.000000,40.000000,-0.000000,0.000000
0.050000,47.910813,112.500000,5.321429,18.857143,37.142857,-57.142857,0.000000
0.050000,48.896528,112.500000,6.307143,20.571429,34.285714,-57.142857,0.000000
0.050000,49.964385,112.500000,7.375000,22.142857,31.428571,-57.142857,0.000000
0.050000,51.107242,112.500000,8.517857,23.571429,28.571429,-57.142857,0.000000
0.050000,52.317956,112.500000,9.728571,24.857143,25.714286,-57.142857,0.000000
0.050000,53.589385,112.500000,11.000000,26.000000,22.857143,-57.142857,0.000000
0.050000,54.914385,112.500000,12.325000,27.000000,20.000000,-57.142857,0.000000
0.050000,56.285813,112.500000,13.696429,27.857143,17.142857,-57.142857,0.000000
0.050000,57.696528,112.500000,15.107143,28.571429,14.285714,-57.142857,0.000000
0.050000,59.139385,112.500000,16.550000,29.142857,11.428571,-57.142857,0.000000
0.050000,60.607242,112.500000,18.017857,29.571429,8.571429,-57.142857,0.000000
0.050000,62.092956,112.500000,19.503571,29.857143,5.714286,-57.142857,0.000000
0.050000,63.589385,112.500000,21.000000,30.000000,2.857143,-57.142857,0.000000
0.050000,65.089385,112.500000,22.500000,30.000000,0.000000,-57.142857,0.000000
0.050000,66.589385,112.500000,24.000000,30.000000,0.000000,0.000000,0.000000
0.050000,68.089385,112.500000,25.500000,30.000000,0.000000,0.000000,0.000000
0.050000,69.589385,112.500000,27.000000,30.000000,0.000000,0.000000,0.000000
0.050000,71.089385,112.500000,28.500000,30.000000,0.000000,0.000000,0.000000
0.050000,72.589385,112.500000,30.000000,30.000000,0.000000,0.000000,0.000000
0.050000,74.089385,112.500000,31.500000,30.000000,0.000000,0.000000,0.000000
0.050000,75.589385,112.500000,33.000000,30.000000,0.000000,0.000000,0.000000
0.050000,77.089385,112.500000,34.500000,30.000000,0.000000,0.000000,0.000000
0.050000,78.589385,112.500000,36.000000,30.000000,0.000000,0.000000,0.000000
0.050000,80.089385,112.500000,37.500000,30.000000,0.000000,0.000000,0.000000
0.050000,81.589385,112.500000,39.000000,30.000000,0.000000,0.000000,0.000000
0.050000,83.089385,112.500000,40.500000,30.000000,0.000000,0.000000,0.000000
0.050000,84.589385,112.500000,42.000000,30.000000,0.000000,0.000000,0.000000
0.050000,86.089385,112.500000,43.500000,30.000000,0.000000,0.000000,0.000000
0.050000,87.589385,112.500000,45.000000,30.000000,0.000000,0.000000,0.000000
0.050000,89.089385,112.500000,46.500000,30.000000,0.000000,0.000000,0.000000
0.050000,90.589385,112.500000,48.000000,30.000000,0.000000,0.000000,0.000000
0.050000,92.089385,112.500000,49.500000,30.000000,0.000000,0.000000,0.000000
0.050000,93.589385,112.500000,51.000000,30.000000,0.000000,0.000000,0.000000
0.050000,95.089385,112.500000,52.500000,30.000000,0.000000,0.000000,0.000000
0.050000,96.589385,112.500000,54.000000,30.000000,0.000000,0.000000,0.000000
0.050000,98.089385,112.500000,55.500000,30.000000,0.000000,0.000000,0.000000
0.050000,99.589385,112.500000,57.000000,30.000000,0.000000,0.000000,0.000000
0.050000,100.992379,112.497412,58.500000,30.000000,0.000000,0.000000,6.278051
0.050000,102.492320,112.484443,60.000000,30.000000,0.000000,0.000000,6.271209
0.050000,103.992152,112.462017,61.500000,30.000000,0.000000,0.000000,6.265434
0.050000,105.491845,112.431707,63.000000,30.000000,0.000000,0.000000,6.260689
0.050000,106.991395,112.395035,64.500000,30.000000,0.000000,0.000000,6.256944
0.050000,108.490820,112.353481,66.000000,30.000000,0.000000,0.000000,6.254175
0.050000,109.990146,112.308496,67.500000,30.000000,0.000000,0.000000,6.252364
0.050000,111.489411,112.261506,69.000000,30.000000,0.000000,0.000000,6.251501
0.050000,112.988656,112.213928,70.500000,30.000000,0.000000,0.000000,6.251579
0.050000,114.487928,112.167173,72.000000,30.000000,0.000000,0.000000,6.252599
0.050000,115.987268,112.122656,73.500000,30.000000,0.000000,0.000000,6.254567
0.050000,117.486712,112.081810,75.000000,30.000000,0.000000,0.000000,6.257496
0.050000,118.986286,112.046088,76.500000,30.000000,0.000000,0.000000,6.261405
0.050000,120.486002,112.016977,78.000000,30.000000,0.000000,0.000000,6.266318
0.050000,121.985856,111.996007,79.500000,30.000000,0.000000,0.000000,6.272267
0.050000,123.485810,111.984760,81.000000,30.000000,0.000000,0.000000,6.279290
0.050000,124.985807,111.984880,82.500000,30.000000,0.000000,0.000000,0.004247
0.050000,126.485743,111.998086,84.000000,30.000000,0.000000,0.000000,0.013562
0.050000,127.985476,112.026180,85.500000,30.000000,0.000000,0.000000,0.024111
0.050000,129.484794,112.071062,87.000000,30.000000,0.000000,0.000000,0.035964
0.050000,130.983429,112.134737,88.500000,30.000000,0.000000,0.000000,0.049200
0.050000,132.481028,112.219332,90.000000,30.000000,0.000000,0.000000,0.063908
